v_family,v_3p_del,proportions
IGHV8,3,0.08021886427188643
IGHV8,4,0.10219939771993977
IGHV8,5,0.07248870724887073
IGHV8,6,0.011615401161540116
IGHV8,7,0.010217251021725103
IGHV8,8,0.008241019574101957
IGHV8,9,0.0016670251667025167
IGHV8,10,0.00037642503764250375
IGHV8,11,0.0003898687889868789
IGHV8,12,6.721875672187568e-05
IGHV8,13,6.721875672187568e-05
IGHV8,14,9.410625941062594e-05
IGHV8,15,2.688750268875027e-05
IGHV8,16,0.00016132501613250162
IGHV8,17,1.3443751344375135e-05
IGHV8,18,1.3443751344375135e-05
IGHV8,19,2.688750268875027e-05
IGHV8,20,1.3443751344375135e-05
IGHV8,21,1.3443751344375135e-05
IGHV8,26,1.3443751344375135e-05
IGHV8,32,1.3443751344375135e-05
IGHV8,52,1.3443751344375135e-05
IGHV8,61,1.3443751344375135e-05
IGHV8,68,1.3443751344375135e-05
IGHV8,74,1.3443751344375135e-05
IGHV8,75,1.3443751344375135e-05
IGHV8,82,1.3443751344375135e-05
IGHV8,90,0.00012099376209937621
IGHV9,0,0.7256807479104037
IGHV9,1,0.12265626357585974
IGHV9,2,0.06739273984742906
IGHV9,3,0.03783429197004188
IGHV9,4,0.028046640137626637
IGHV9,5,0.011247328270804734
IGHV9,6,0.003918536153057501
IGHV9,7,0.001455332163275236
IGHV9,8,0.00022590230594123065
IGHV9,9,0.000777625245451544
IGHV9,10,9.991832762785201e-05
IGHV9,11,8.68855022850887e-05
IGHV9,12,0.00013032825342763308
IGHV9,13,3.909847602828992e-05
IGHV9,14,0.00015204962899890526
IGHV9,15,1.737710045701774e-05
IGHV9,16,0.00010426260274210646
IGHV9,19,4.344275114254435e-05
IGHV9,24,4.344275114254435e-06
IGHV9,38,4.344275114254435e-06
IGHV9,44,4.344275114254435e-06
IGHV9,52,8.68855022850887e-06
IGHV9,58,4.344275114254435e-06
IGHV9,65,4.344275114254435e-06
IGHV9,68,4.344275114254435e-06
IGHV9,71,4.344275114254435e-06
IGHV9,75,4.344275114254435e-06
IGHV9,76,4.344275114254435e-06
IGHV9,77,4.344275114254435e-06
IGHV9,78,4.344275114254435e-06
IGHV9,79,2.1721375571272176e-05
IGHV9,82,4.344275114254435e-06
IGHV9,91,8.68855022850887e-06
